strategy,scene,seed,frame_cost_us,total_cost_us,convergence_frames,peak_queue,psnr_db
C_Queue256,cave_system,42,0.020,0.020,0.0,0,100.00
C_Queue512,cave_system,42,0.020,0.020,0.0,0,100.00
C_Queue1024,cave_system,42,0.021,0.021,0.0,0,100.00
C_Queue2048,cave_system,42,0.020,0.020,0.0,0,100.00
C_Queue4096,cave_system,42,0.020,0.020,0.0,0,100.00
D_Adaptive10pct,cave_system,42,0.021,0.021,0.0,0,100.00
D_Adaptive25pct,cave_system,42,0.020,0.020,0.0,0,100.00
A_FullBFS,cave_system,1234,18.272,18.272,1.0,0,100.00
B_Budget8Col,cave_system,1234,0.187,4.683,25.0,61,100.00
C_Queue256,cave_system,1234,0.235,3.292,14.0,52,100.00
C_Queue512,cave_system,1234,0.294,4.119,14.0,52,100.00
C_Queue1024,cave_system,1234,0.262,3.672,14.0,52,100.00
C_Queue2048,cave_system,1234,0.256,3.584,14.0,52,100.00
C_Queue4096,cave_system,1234,0.269,3.766,14.0,52,100.00
D_Adaptive10pct,cave_system,1234,0.281,3.937,14.0,52,100.00
D_Adaptive25pct,cave_system,1234,0.315,4.412,14.0,52,100.00
A_FullBFS,cave_system,31337,19.269,19.269,1.0,0,100.00
B_Budget8Col,cave_system,31337,0.155,4.040,26.0,55,100.00
C_Queue256,cave_system,31337,0.264,3.957,15.0,41,100.00
C_Queue512,cave_system,31337,0.223,3.342,15.0,41,100.00
C_Queue1024,cave_system,31337,0.280,4.200,15.0,41,100.00
C_Queue2048,cave_system,31337,0.245,3.682,15.0,41,100.00
C_Queue4096,cave_system,31337,0.248,3.717,15.0,41,100.00
D_Adaptive10pct,cave_system,31337,0.218,3.277,15.0,41,100.00
D_Adaptive25pct,cave_system,31337,0.266,3.984,15.0,41,100.00
A_FullBFS,single_room,1,6.234,6.234,1.0,0,100.00
B_Budget8Col,single_room,1,0.101,1.720,17.0,22,100.00
C_Queue256,single_room,1,0.120,1.321,11.0,19,100.00
C_Queue512,single_room,1,0.126,1.386,11.0,19,100.00
C_Queue1024,single_room,1,0.126,1.389,11.0,19,100.00
C_Queue2048,single_room,1,0.121,1.334,11.0,19,100.00
C_Queue4096,single_room,1,0.102,1.125,11.0,19,100.00
D_Adaptive10pct,single_room,1,0.124,1.360,11.0,19,100.00
D_Adaptive25pct,single_room,1,0.129,1.418,11.0,19,100.00
A_FullBFS,single_room,7,6.253,6.253,1.0,0,100.00
B_Budget8Col,single_room,7,0.082,1.399,17.0,22,100.00
C_Queue256,single_room,7,0.107,1.179,11.0,19,100.00
C_Queue512,single_room,7,0.125,1.379,11.0,19,100.00
C_Queue1024,single_room,7,0.105,1.159,11.0,19,100.00
C_Queue2048,single_room,7,0.103,1.133,11.0,19,100.00
C_Queue4096,single_room,7,0.132,1.451,11.0,19,100.00
D_Adaptive10pct,single_room,7,0.129,1.415,11.0,19,100.00
D_Adaptive25pct,single_room,7,0.104,1.145,11.0,19,100.00
A_FullBFS,single_room,42,5.986,5.986,1.0,0,100.00
B_Budget8Col,single_room,42,0.088,1.499,17.0,22,100.00
C_Queue256,single_room,42,0.135,1.485,11.0,19,100.00
C_Queue512,single_room,42,0.111,1.225,11.0,19,100.00
C_Queue1024,single_room,42,0.136,1.500,11.0,19,100.00
C_Queue2048,single_room,42,0.103,1.136,11.0,19,100.00
C_Queue4096,single_room,42,0.115,1.265,11.0,19,100.00
D_Adaptive10pct,single_room,42,0.128,1.405,11.0,19,100.00
D_Adaptive25pct,single_room,42,0.117,1.282,11.0,19,100.00
A_FullBFS,single_room,1234,6.055,6.055,1.0,0,100.00
B_Budget8Col,single_room,1234,0.089,1.514,17.0,22,100.00
C_Queue256,single_room,1234,0.122,1.341,11.0,19,100.00
C_Queue512,single_room,1234,0.107,1.180,11.0,19,100.00
C_Queue1024,single_room,1234,0.102,1.126,11.0,19,100.00
C_Queue2048,single_room,1234,0.104,1.149,11.0,19,100.00
C_Queue4096,single_room,1234,0.111,1.216,11.0,19,100.00
D_Adaptive10pct,single_room,1234,0.136,1.492,11.0,19,100.00
D_Adaptive25pct,single_room,1234,0.133,1.467,11.0,19,100.00
A_FullBFS,single_room,31337,5.902,5.902,1.0,0,100.00
B_Budget8Col,single_room,31337,0.100,1.694,17.0,22,100.00
C_Queue256,single_room,31337,0.137,1.506,11.0,19,100.00
C_Queue512,single_room,31337,0.103,1.137,11.0,19,100.00
C_Queue1024,single_room,31337,0.136,1.497,11.0,19,100.00
C_Queue2048,single_room,31337,0.138,1.523,11.0,19,100.00
C_Queue4096,single_room,31337,0.122,1.337,11.0,19,100.00
D_Adaptive10pct,single_room,31337,0.117,1.287,11.0,19,100.00
D_Adaptive25pct,single_room,31337,0.109,1.201,11.0,19,100.00
A_FullBFS,multi_torch,1,0.450,0.450,1.0,0,100.00
B_Budget8Col,multi_torch,1,0.038,0.453,12.0,8,100.00
C_Queue256,multi_torch,1,0.059,0.475,8.0,8,100.00
C_Queue512,multi_torch,1,0.051,0.410,8.0,8,100.00
C_Queue1024,multi_torch,1,0.049,0.394,8.0,8,100.00
C_Queue2048,multi_torch,1,0.060,0.483,8.0,8,100.00
C_Queue4096,multi_torch,1,0.051,0.409,8.0,8,100.00
D_Adaptive10pct,multi_torch,1,0.048,0.381,8.0,8,100.00
D_Adaptive25pct,multi_torch,1,0.060,0.481,8.0,8,100.00
A_FullBFS,multi_torch,7,0.555,0.555,1.0,0,100.00
B_Budget8Col,multi_torch,7,0.032,0.388,12.0,9,100.00
C_Queue256,multi_torch,7,0.057,0.458,8.0,8,100.00
C_Queue512,multi_torch,7,0.043,0.341,8.0,8,100.00
C_Queue1024,multi_torch,7,0.040,0.321,8.0,8,100.00
C_Queue2048,multi_torch,7,0.051,0.406,8.0,8,100.00
C_Queue4096,multi_torch,7,0.050,0.397,8.0,8,100.00
D_Adaptive10pct,multi_torch,7,0.045,0.358,8.0,8,100.00
D_Adaptive25pct,multi_torch,7,0.066,0.525,8.0,8,100.00
A_FullBFS,multi_torch,42,0.523,0.523,1.0,0,100.00
B_Budget8Col,multi_torch,42,0.033,0.468,14.0,8,100.00
C_Queue256,multi_torch,42,0.071,0.499,7.0,8,100.00
C_Queue512,multi_torch,42,0.072,0.507,7.0,8,100.00
C_Queue1024,multi_torch,42,0.062,0.434,7.0,8,100.00
C_Queue2048,multi_torch,42,0.080,0.560,7.0,8,100.00
C_Queue4096,multi_torch,42,0.071,0.500,7.0,8,100.00
D_Adaptive10pct,multi_torch,42,0.058,0.404,7.0,8,100.00
D_Adaptive25pct,multi_torch,42,0.079,0.556,7.0,8,100.00
A_FullBFS,multi_torch,1234,0.838,0.838,1.0,0,100.00
B_Budget8Col,multi_torch,1234,0.038,0.525,14.0,8,100.00
C_Queue256,multi_torch,1234,0.075,0.597,8.0,8,100.00
C_Queue512,multi_torch,1234,0.066,0.527,8.0,8,100.00
C_Queue1024,multi_torch,1234,0.065,0.522,8.0,8,100.00
C_Queue2048,multi_torch,1234,0.085,0.677,8.0,8,100.00
C_Queue4096,multi_torch,1234,0.064,0.515,8.0,8,100.00
D_Adaptive10pct,multi_torch,1234,0.073,0.584,8.0,8,100.00
D_Adaptive25pct,multi_torch,1234,0.072,0.572,8.0,8,100.00
A_FullBFS,multi_torch,31337,0.450,0.450,1.0,0,100.00
B_Budget8Col,multi_torch,31337,0.031,0.402,13.0,8,100.00
C_Queue256,multi_torch,31337,0.058,0.408,7.0,8,100.00
C_Queue512,multi_torch,31337,0.083,0.579,7.0,8,100.00
C_Queue1024,multi_torch,31337,0.072,0.506,7.0,8,100.00
C_Queue2048,multi_torch,31337,0.053,0.368,7.0,8,100.00
C_Queue4096,multi_torch,31337,0.060,0.421,7.0,8,100.00
D_Adaptive10pct,multi_torch,31337,0.059,0.416,7.0,8,100.00
D_Adaptive25pct,multi_torch,31337,0.053,0.374,7.0,8,100.00
A_FullBFS,dense_foliage,1,0.025,0.025,1.0,0,100.00
B_Budget8Col,dense_foliage,1,0.038,0.038,1.0,1,100.00
C_Queue256,dense_foliage,1,0.027,0.027,1.0,1,100.00
C_Queue512,dense_foliage,1,0.027,0.027,1.0,1,100.00
C_Queue1024,dense_foliage,1,0.027,0.027,1.0,1,100.00
C_Queue2048,dense_foliage,1,0.033,0.033,1.0,1,100.00
C_Queue4096,dense_foliage,1,0.028,0.028,1.0,1,100.00
D_Adaptive10pct,dense_foliage,1,0.030,0.030,1.0,1,100.00
D_Adaptive25pct,dense_foliage,1,0.032,0.032,1.0,1,100.00
A_FullBFS,dense_foliage,7,0.034,0.034,1.0,0,100.00
B_Budget8Col,dense_foliage,7,0.034,0.034,1.0,1,100.00
C_Queue256,dense_foliage,7,0.030,0.030,1.0,1,100.00
C_Queue512,dense_foliage,7,0.027,0.027,1.0,1,100.00
C_Queue1024,dense_foliage,7,0.028,0.028,1.0,1,100.00
C_Queue2048,dense_foliage,7,0.032,0.032,1.0,1,100.00
C_Queue4096,dense_foliage,7,0.028,0.028,1.0,1,100.00
D_Adaptive10pct,dense_foliage,7,0.035,0.035,1.0,1,100.00
D_Adaptive25pct,dense_foliage,7,0.029,0.029,1.0,1,100.00
A_FullBFS,dense_foliage,42,0.030,0.030,1.0,0,100.00
B_Budget8Col,dense_foliage,42,0.037,0.037,1.0,1,100.00
C_Queue256,dense_foliage,42,0.041,0.041,1.0,1,100.00
C_Queue512,dense_foliage,42,0.040,0.040,1.0,1,100.00
C_Queue1024,dense_foliage,42,0.036,0.036,1.0,1,100.00
C_Queue2048,dense_foliage,42,0.033,0.033,1.0,1,100.00
C_Queue4096,dense_foliage,42,0.030,0.030,1.0,1,100.00
D_Adaptive10pct,dense_foliage,42,0.030,0.030,1.0,1,100.00
D_Adaptive25pct,dense_foliage,42,0.036,0.036,1.0,1,100.00
A_FullBFS,dense_foliage,1234,0.029,0.029,1.0,0,100.00
B_Budget8Col,dense_foliage,1234,0.028,0.028,1.0,1,100.00
C_Queue256,dense_foliage,1234,0.032,0.032,1.0,1,100.00
C_Queue512,dense_foliage,1234,0.034,0.034,1.0,1,100.00
C_Queue1024,dense_foliage,1234,0.031,0.031,1.0,1,100.00
C_Queue2048,dense_foliage,1234,0.037,0.037,1.0,1,100.00
C_Queue4096,dense_foliage,1234,0.035,0.035,1.0,1,100.00
D_Adaptive10pct,dense_foliage,1234,0.036,0.036,1.0,1,100.00
D_Adaptive25pct,dense_foliage,1234,0.035,0.035,1.0,1,100.00
A_FullBFS,dense_foliage,31337,0.030,0.030,1.0,0,100.00
B_Budget8Col,dense_foliage,31337,0.031,0.031,1.0,1,100.00
C_Queue256,dense_foliage,31337,0.028,0.028,1.0,1,100.00
C_Queue512,dense_foliage,31337,0.037,0.037,1.0,1,100.00
C_Queue1024,dense_foliage,31337,0.033,0.033,1.0,1,100.00
C_Queue2048,dense_foliage,31337,0.029,0.029,1.0,1,100.00
C_Queue4096,dense_foliage,31337,0.030,0.030,1.0,1,100.00
D_Adaptive10pct,dense_foliage,31337,0.033,0.033,1.0,1,100.00
D_Adaptive25pct,dense_foliage,31337,0.041,0.041,1.0,1,100.00
