scene,seed,strategy,chunk_count,culled_count,false_negative_count,cull_rate,total_texels_touched,mean_compute_us,p99_compute_us,psnr_db,frame_time_us_mean,frame_time_us_p99
forest_floor,42,D_PerChunkDynamicDispatch,1024,330,0,0.322266,14472,0.014133,0.059000,inf,58.556967,80.880000
forest_floor,1234,A_UniformMip0,1024,308,0,0.300781,10499900,10.253809,100.899000,inf,2612.481500,3609.867000
forest_floor,1234,B_UniformMipGlobal,1024,351,1,0.342773,11046,0.010787,0.099000,30.103000,37.758633,44.910000
forest_floor,1234,C_PerChunkStaticMip,1024,333,1,0.325195,14862,0.014514,0.059000,30.103000,48.786600,87.299000
forest_floor,1234,D_PerChunkDynamicDispatch,1024,333,1,0.325195,14862,0.014514,0.059000,30.103000,48.059633,63.160000
forest_floor,31337,A_UniformMip0,1024,294,0,0.287109,10047220,9.811738,100.899000,inf,2468.515300,3022.178000
forest_floor,31337,B_UniformMipGlobal,1024,340,0,0.332031,10609,0.010360,0.099000,inf,40.115633,60.500000
forest_floor,31337,C_PerChunkStaticMip,1024,323,0,0.315430,14460,0.014121,0.059000,inf,48.005967,60.720000
forest_floor,31337,D_PerChunkDynamicDispatch,1024,323,0,0.315430,14460,0.014121,0.059000,inf,49.311933,62.369000
cave_stress,1,A_UniformMip0,492,221,0,0.449187,8184882,16.635939,100.899000,inf,1923.185400,3496.797000
cave_stress,1,B_UniformMipGlobal,492,250,0,0.508130,8310,0.016890,0.099000,inf,21.373000,29.440000
cave_stress,1,C_PerChunkStaticMip,492,235,0,0.477642,11276,0.022919,0.059000,inf,26.716667,33.450000
cave_stress,1,D_PerChunkDynamicDispatch,492,235,0,0.477642,11276,0.022919,0.059000,inf,28.015667,36.520000
cave_stress,7,A_UniformMip0,509,231,0,0.453831,7614698,14.960114,100.899000,inf,1987.806367,3003.228000
cave_stress,7,B_UniformMipGlobal,509,247,0,0.485265,7766,0.015257,0.099000,inf,21.843967,29.030000
cave_stress,7,C_PerChunkStaticMip,509,237,0,0.465619,10916,0.021446,0.059000,inf,28.680633,54.720000
cave_stress,7,D_PerChunkDynamicDispatch,509,237,0,0.465619,10916,0.021446,0.059000,inf,27.263333,32.280000
cave_stress,42,A_UniformMip0,520,243,0,0.467308,8693767,16.718783,100.899000,inf,1895.639733,2379.307000
cave_stress,42,B_UniformMipGlobal,520,264,0,0.507692,8828,0.016977,0.099000,inf,21.253667,27.100000
cave_stress,42,C_PerChunkStaticMip,520,252,0,0.484615,11427,0.021975,0.059000,inf,29.328967,48.229000
cave_stress,42,D_PerChunkDynamicDispatch,520,252,0,0.484615,11427,0.021975,0.059000,inf,28.375300,32.550000
cave_stress,1234,A_UniformMip0,542,250,0,0.461255,8350376,15.406598,100.899000,inf,1999.020333,2331.768000
cave_stress,1234,B_UniformMipGlobal,542,287,0,0.529520,8502,0.015686,0.099000,inf,26.453967,31.340000
cave_stress,1234,C_PerChunkStaticMip,542,269,0,0.496310,12290,0.022675,0.059000,inf,32.750633,83.720000
cave_stress,1234,D_PerChunkDynamicDispatch,542,269,0,0.496310,12290,0.022675,0.059000,inf,30.386967,37.010000
cave_stress,31337,A_UniformMip0,505,234,0,0.463366,7969593,15.781372,100.899000,inf,2099.628900,3406.137000
cave_stress,31337,B_UniformMipGlobal,505,263,0,0.520792,8109,0.016057,0.099000,inf,21.072300,39.069000
cave_stress,31337,C_PerChunkStaticMip,505,247,0,0.489109,11389,0.022552,0.059000,inf,27.430967,27.780000
cave_stress,31337,D_PerChunkDynamicDispatch,505,247,0,0.489109,11389,0.022552,0.059000,inf,27.507633,33.180000
mixed_biome,1,A_UniformMip0,721,186,0,0.257975,7081693,9.822043,100.899000,inf,1569.374700,2077.758000
mixed_biome,1,B_UniformMipGlobal,721,207,0,0.287101,28293,0.039241,0.395000,inf,36.135633,46.229000
mixed_biome,1,C_PerChunkStaticMip,721,210,0,0.291262,9913,0.013749,0.059000,inf,34.495000,55.190000
mixed_biome,1,D_PerChunkDynamicDispatch,721,210,0,0.291262,9913,0.013749,0.059000,inf,32.718300,42.730000
mixed_biome,7,A_UniformMip0,718,164,0,0.228412,7174548,9.992407,100.899000,inf,1614.692967,2186.888000
mixed_biome,7,B_UniformMipGlobal,718,197,0,0.274373,7583,0.010561,0.099000,inf,24.622300,24.940000
mixed_biome,7,C_PerChunkStaticMip,718,191,0,0.266017,9343,0.013013,0.059000,inf,31.541333,50.220000
mixed_biome,7,D_PerChunkDynamicDispatch,718,191,0,0.266017,9343,0.013013,0.059000,inf,32.699000,44.340000
mixed_biome,42,A_UniformMip0,710,167,0,0.235211,6339815,8.929317,100.899000,inf,1546.294033,1875.208000
mixed_biome,42,B_UniformMipGlobal,710,198,0,0.278873,6758,0.009518,0.099000,inf,32.368300,39.370000
mixed_biome,42,C_PerChunkStaticMip,710,182,0,0.256338,9188,0.012941,0.059000,inf,33.175633,39.700000
mixed_biome,42,D_PerChunkDynamicDispatch,710,182,0,0.256338,9188,0.012941,0.059000,inf,32.575633,59.150000
mixed_biome,1234,A_UniformMip0,720,189,0,0.262500,6983192,9.698878,100.899000,inf,1801.949833,2687.838000
mixed_biome,1234,B_UniformMipGlobal,720,218,0,0.302778,7391,0.010265,0.099000,inf,25.134967,31.300000
mixed_biome,1234,C_PerChunkStaticMip,720,209,0,0.290278,9347,0.012982,0.059000,inf,30.700633,34.460000
mixed_biome,1234,D_PerChunkDynamicDispatch,720,209,0,0.290278,9347,0.012982,0.059000,inf,31.272633,41.900000
mixed_biome,31337,A_UniformMip0,712,189,0,0.265449,6971086,9.790851,100.899000,inf,1697.193900,2556.678000
mixed_biome,31337,B_UniformMipGlobal,712,220,0,0.308989,7376,0.010360,0.099000,inf,25.952000,46.700000
mixed_biome,31337,C_PerChunkStaticMip,712,209,0,0.293539,9296,0.013056,0.059000,inf,35.540000,50.110000
mixed_biome,31337,D_PerChunkDynamicDispatch,712,209,0,0.293539,9296,0.013056,0.059000,inf,30.669333,31.060000
view_dolly_stress,1,A_UniformMip0,810,150,0,0.185185,11110929,13.717196,129.600000,inf,1922.293733,2848.357000
view_dolly_stress,1,B_UniformMipGlobal,810,159,2,0.196296,11559,0.014270,0.127000,26.074550,30.425633,58.240000
view_dolly_stress,1,C_PerChunkStaticMip,810,159,2,0.196296,7467,0.009219,0.046000,26.074550,31.507300,41.250000
view_dolly_stress,1,D_PerChunkDynamicDispatch,810,159,2,0.196296,7467,0.009219,0.046000,26.074550,28.471300,39.740000
view_dolly_stress,7,A_UniformMip0,830,161,0,0.193976,11900598,14.338070,129.600000,inf,1940.952033,2981.368000
view_dolly_stress,7,B_UniformMipGlobal,830,169,1,0.203614,12348,0.014877,0.127000,29.190781,23.444667,28.650000
view_dolly_stress,7,C_PerChunkStaticMip,830,169,1,0.203614,7637,0.009201,0.046000,29.190781,27.615333,36.820000
view_dolly_stress,7,D_PerChunkDynamicDispatch,830,169,1,0.203614,7637,0.009201,0.046000,29.190781,32.472667,36.830000
view_dolly_stress,42,A_UniformMip0,831,157,0,0.188929,11806278,14.207314,129.600000,inf,1751.222200,2515.458000
view_dolly_stress,42,B_UniformMipGlobal,831,164,2,0.197353,12261,0.014755,0.127000,26.185710,28.532300,33.870000
view_dolly_stress,42,C_PerChunkStaticMip,831,164,2,0.197353,7538,0.009071,0.046000,26.185710,26.038333,26.220000
view_dolly_stress,42,D_PerChunkDynamicDispatch,831,164,2,0.197353,7538,0.009071,0.046000,26.185710,26.039300,26.490000
view_dolly_stress,1234,A_UniformMip0,841,166,0,0.197384,12396895,14.740660,129.600000,inf,1896.332400,2452.897000
view_dolly_stress,1234,B_UniformMipGlobal,841,174,1,0.206897,12840,0.015268,0.127000,29.247960,24.126000,24.310000
view_dolly_stress,1234,C_PerChunkStaticMip,841,174,1,0.206897,8040,0.009560,0.046000,29.247960,26.885967,26.990000
view_dolly_stress,1234,D_PerChunkDynamicDispatch,841,174,1,0.206897,8040,0.009560,0.046000,29.247960,27.521633,32.909000
view_dolly_stress,31337,A_UniformMip0,817,159,0,0.194614,11642327,14.250094,129.600000,inf,1879.122433,2872.978000
view_dolly_stress,31337,B_UniformMipGlobal,817,167,2,0.204406,12084,0.014791,0.127000,26.111921,25.561667,60.730000
view_dolly_stress,31337,C_PerChunkStaticMip,817,167,2,0.204406,7646,0.009359,0.046000,26.111921,26.187300,31.100000
view_dolly_stress,31337,D_PerChunkDynamicDispatch,817,167,2,0.204406,7646,0.009359,0.046000,26.111921,26.219300,30.369000
