Scene,Strategy,Seed,Mean_us,Median_us,p95_us,p99_us,Std_us,Accuracy,VoxelCount
bridge,D_StressPropagation,31337,214.08,198.879,276.069,310.159,27.4733,1,1248
bridge,E_Hybrid_AABB,31337,58.0995,53.54,87.339,115.279,14.4704,1,1248
tower,A_NaiveGlobalBFS,1,49.8498,44.26,73.64,93.45,10.5202,1,1984
tower,B_HierarchicalCclDsu,1,52.3642,45.919,82.26,106.969,13.0973,1,1984
tower,C_LocalSplitBFS,1,155.57,183.159,243.479,322.278,66.395,1,1984
tower,D_StressPropagation,1,215.776,199.489,276.579,359.349,33.5831,1,1984
tower,E_Hybrid_AABB,1,121.001,116.73,173.39,219.029,26.8745,1,1984
tower,A_NaiveGlobalBFS,7,48.5178,43.6,74.49,87.34,10.1258,1,1984
tower,B_HierarchicalCclDsu,7,56.1047,50.95,90.84,104.979,15.1155,1,1984
tower,C_LocalSplitBFS,7,153.316,175.68,282.669,340.348,74.5891,1,1984
tower,D_StressPropagation,7,219.661,201.459,277.169,375.949,38.488,1,1984
tower,E_Hybrid_AABB,7,124.778,118.19,204.329,231.289,33.0277,1,1984
tower,A_NaiveGlobalBFS,42,49.8838,43.59,76.319,80.82,11.2705,1,1984
tower,B_HierarchicalCclDsu,42,52.3349,45.54,84.729,103.55,13.4453,1,1984
tower,C_LocalSplitBFS,42,160.023,184.089,297.819,380.949,80.2321,1,1984
tower,D_StressPropagation,42,222.796,203.709,285.909,361.708,38.0106,1,1984
tower,E_Hybrid_AABB,42,124.134,120.58,189.309,247.939,32.5648,1,1984
tower,A_NaiveGlobalBFS,1234,48.6868,43.71,73.519,90.56,10.1485,1,1984
tower,B_HierarchicalCclDsu,1234,54.0452,47.339,90.229,104.429,14.7284,1,1984
tower,C_LocalSplitBFS,1234,156.407,180.289,265.979,339.368,76.0392,1,1984
tower,D_StressPropagation,1234,217.321,199.479,286.489,440.339,42.4784,1,1984
tower,E_Hybrid_AABB,1234,125.326,120.51,192.749,225.629,33.8453,1,1984
tower,A_NaiveGlobalBFS,31337,47.2121,43.34,67.81,75.12,7.75025,1,1984
tower,B_HierarchicalCclDsu,31337,50.8408,45.369,76.93,89.169,10.7077,1,1984
tower,C_LocalSplitBFS,31337,159.405,186.34,280.479,358.079,77.0819,1,1984
tower,D_StressPropagation,31337,213.267,198.099,266.489,386.709,38.5542,1,1984
tower,E_Hybrid_AABB,31337,127.722,118.01,205.46,242.119,37.3797,1,1984
stressed_arch,A_NaiveGlobalBFS,1,40.0088,36.59,56.86,64.929,6.90745,1,192
stressed_arch,B_HierarchicalCclDsu,1,40.1795,37.46,54.81,72.69,7.55626,1,192
stressed_arch,C_LocalSplitBFS,1,67.3396,61.59,98.6,124.439,14.3146,0.74,192
stressed_arch,D_StressPropagation,1,212.662,199.059,265.299,308.339,26.2683,1,192
stressed_arch,E_Hybrid_AABB,1,3.90896,0.94,38.03,42.39,9.43706,0.74,192
stressed_arch,A_NaiveGlobalBFS,7,37.9015,36.65,43.699,63.39,5.93149,1,192
stressed_arch,B_HierarchicalCclDsu,7,40.9781,37.859,68.02,76.38,10.7384,1,192
stressed_arch,C_LocalSplitBFS,7,64.2958,60.88,76.94,129.639,12.015,0.74,192
stressed_arch,D_StressPropagation,7,211.968,198.759,269.729,302.749,25.26,1,192
stressed_arch,E_Hybrid_AABB,7,4.08656,1.01,38.719,43.71,9.76596,0.74,192
stressed_arch,A_NaiveGlobalBFS,42,37.9933,36.64,43.81,64.309,6.44818,1,192
stressed_arch,B_HierarchicalCclDsu,42,39.5877,36.72,58.81,74.5,10.4123,1,192
stressed_arch,C_LocalSplitBFS,42,66.2027,61.07,102.439,126.69,14.6033,0.72,192
stressed_arch,D_StressPropagation,42,212.488,199.019,265.569,307.429,26.311,1,192
stressed_arch,E_Hybrid_AABB,42,4.01727,0.95,38.32,44.19,9.80191,0.72,192
stressed_arch,A_NaiveGlobalBFS,1234,37.526,36.67,41.69,46.549,5.20728,1,192
stressed_arch,B_HierarchicalCclDsu,1234,39.086,36.63,48.26,70.22,7.83103,1,192
stressed_arch,C_LocalSplitBFS,1234,65.5047,61.57,85.24,125.22,12.2576,0.8,192
stressed_arch,D_StressPropagation,1234,214.938,199.869,279.069,312.499,28.6247,1,192
stressed_arch,E_Hybrid_AABB,1234,9.7305,0.96,42.11,52.13,17.2283,0.8,192
stressed_arch,A_NaiveGlobalBFS,31337,38.9084,36.71,49.43,65.029,12.3757,1,192
stressed_arch,B_HierarchicalCclDsu,31337,38.3313,36.57,44.72,67.55,6.81326,1,192
stressed_arch,C_LocalSplitBFS,31337,65.9676,60.94,111.369,122.789,15.2777,0.44,192
stressed_arch,D_StressPropagation,31337,215.416,201.919,279.629,318.189,29.6761,1,192
stressed_arch,E_Hybrid_AABB,31337,7.16535,0.98,42.419,70.01,15.7523,0.44,192
random_scaffolding,A_NaiveGlobalBFS,1,38.8363,35.52,57.78,64.41,10.0562,1,998
random_scaffolding,B_HierarchicalCclDsu,1,40.5235,37.32,64.61,74.569,10.5506,1,998
random_scaffolding,C_LocalSplitBFS,1,46.1336,42.36,64.349,95.449,12.2712,0,998
random_scaffolding,D_StressPropagation,1,217.463,200.669,278.719,348.749,31.5092,1,998
random_scaffolding,E_Hybrid_AABB,1,45.8005,45.8,80.73,115.04,27.0972,0.9,998
random_scaffolding,A_NaiveGlobalBFS,7,37.1757,34.68,53.83,62.92,8.81848,1,888
random_scaffolding,B_HierarchicalCclDsu,7,39.4717,37.59,46.55,67.809,7.83034,1,888
random_scaffolding,C_LocalSplitBFS,7,46.0217,41.56,67.64,92.54,12.2372,0,888
random_scaffolding,D_StressPropagation,7,214.901,199.579,271.719,306.189,27.5818,1,888
random_scaffolding,E_Hybrid_AABB,7,48.4383,41.51,79.41,113.99,22.5637,0.76,888
random_scaffolding,A_NaiveGlobalBFS,42,37.4005,35.49,47.12,64.06,7.27281,1,919
random_scaffolding,B_HierarchicalCclDsu,42,39.807,37.78,48.86,71.19,7.78286,1,919
random_scaffolding,C_LocalSplitBFS,42,45.3469,42.49,59.9,77.38,9.6495,0,919
random_scaffolding,D_StressPropagation,42,215.336,199.939,273.769,306.939,26.2924,1,919
random_scaffolding,E_Hybrid_AABB,42,58.5306,57.1,91.1,130.679,24.2005,0.66,919
random_scaffolding,A_NaiveGlobalBFS,1234,37.802,35.29,55.82,65.96,9.449,1,987
random_scaffolding,B_HierarchicalCclDsu,1234,39.9472,37.98,46.77,70.3,7.96608,1,987
random_scaffolding,C_LocalSplitBFS,1234,48.0218,42.929,71.389,107.42,12.6793,0,987
random_scaffolding,D_StressPropagation,1234,217.04,200.959,275.609,310.748,27.5844,1,987
random_scaffolding,E_Hybrid_AABB,1234,47.9034,49.07,78.689,103.9,22.8343,0.84,987
random_scaffolding,A_NaiveGlobalBFS,31337,37.968,35.68,50.849,64.249,9.10185,1,1002
random_scaffolding,B_HierarchicalCclDsu,31337,40.1654,37.35,62.53,74.809,9.16108,1,1002
random_scaffolding,C_LocalSplitBFS,31337,47.3602,42.65,68.22,93.93,15.8626,0,1002
random_scaffolding,D_StressPropagation,31337,221.947,206.06,286.209,356.729,35.5768,1,1002
random_scaffolding,E_Hybrid_AABB,31337,40.1509,40.91,84.55,124.87,27.9313,0.66,1002
